VaR,Loss
1459.026,1594.500
1459.019,1646.950
1459.060,1401.950
1214.287,1326.950
1139.275,849.450
660.626,904.450
660.613,841.050
597.133,546.550
302.774,561.550
302.785,642.800
302.818,612.800
272.803,777.800
272.709,787.800
272.721,722.100
207.018,819.600
206.986,773.150
160.527,993.150
160.431,864.050
31.468,1311.550
31.546,1550.050
31.783,1315.050
-202.907,1390.050
-202.998,1325.050
-268.044,1270.050
-323.164,1365.050
-323.253,1450.050
-323.309,1410.050
-363.226,1450.050
-363.241,1634.550
-363.333,1174.550
-822.474,1233.450
-822.486,926.950
-1128.552,968.150
-1128.471,-397.000
-2494.014,-487.000
-2584.067,-342.000
-2584.226,-267.000
-2584.242,-282.000
-2599.255,-242.000
-2599.280,-137.000
-2599.057,-197.000
-2659.104,-297.000
-2758.888,-382.000
-2843.915,-282.000
-2843.833,-337.000
-2898.851,-367.000
-2898.769,-317.000
-2898.775,-397.000
-2946.280,-414.500
-2963.763,-438.400
-2963.767,-505.450
-2978.372,-386.450
-2978.178,-181.450
-2978.223,-456.450
-3253.133,-476.450
-3253.137,-474.750
-3253.137,-254.750
-3253.130,-208.100
-3253.186,-293.100
-3256.970,-213.100
-3256.960,-363.100
-3256.949,-343.100
-3256.925,-269.750
-3256.964,-307.250
-3256.978,-292.250
-3257.116,-162.050
-3257.206,-526.050
-3257.184,-845.550
-3338.455,-640.550
-3338.400,-700.550
-3338.369,-665.550
-3338.386,-820.550
-3398.135,-790.550
-3398.079,-805.550
-3398.071,-759.550
-3398.249,-1564.500
-4197.699,-1608.950
-4197.675,-1299.350
-4197.584,-1406.750
-4263.839,-1486.750
-4343.839,-981.750
-4343.409,-1061.750
-4423.258,-1191.750
-4423.210,-1256.750
-4423.203,-1314.250
-4480.663,-1334.250
-4480.668,-1499.250
-4540.921,-1494.250
-4540.919,-1364.250
-4540.869,-1298.250
-4540.897,-1277.000
-4540.902,-1282.000
-4545.897,-1417.000
-4660.997,-1442.000
-4661.000,-1562.700
-4781.508,-1567.700
-4786.502,-1512.150
-4786.421,-1382.650
-4786.537,-1722.650
-4921.362,-1787.650
-4986.260,-1717.650
-4986.295,-1722.650
-4989.595,-1522.650
-4989.865,-1565.950
-4989.859,-1625.950
-5049.829,-1980.950
-5323.907,-2030.450
-5358.286,-2045.600
-5358.271,-2102.600
-5358.257,-2287.600
-5483.027,-2251.050
-5483.040,-2364.450
-5482.865,-2344.550
-5483.015,-2656.550
-5711.587,-3108.050
-6162.991,-2940.550
-6163.399,-2955.550
-6163.337,-2985.550
-6163.321,-3005.550
-6183.321,-2965.550
-6183.117,-3030.550
-6183.092,-3013.050
-6183.101,-2995.050
-6183.121,-3115.050
-6183.075,-1880.150
-6182.675,-1610.150
-6182.864,-1417.850
-6183.261,-1366.650
-6183.281,-1324.650
-6183.290,-1214.250
-6183.239,-1154.250
-6183.287,-1059.250
-6183.313,-999.250
-6183.342,-984.250
-6183.363,-1028.750
-6227.808,-1028.750
-6227.806,-903.750
-6228.168,-910.750
-6228.191,-923.250
-6228.144,-893.250
-6228.150,-788.250
-6228.236,-788.250
-6228.238,-636.850
-6228.233,-626.850
-6228.181,-716.050
-6283.730,-586.050
-6283.997,-412.050
-6284.530,-262.050
-6284.517,172.950
-6284.853,257.950
-6284.925,97.950
-6444.412,-162.050
-6444.322,-162.900
-6444.315,-77.900
-6444.360,182.100
-6444.290,221.100
-6444.252,186.400
-6464.153,221.400
-6464.171,493.900
-6464.471,487.150
-6464.480,528.950
-6464.420,457.700
-6464.356,518.700
-6464.314,1003.700
-6464.442,848.700
-6464.421,858.700
-6464.380,891.200
-6464.400,921.200
-6464.411,916.200
-6464.187,921.200
-6464.169,921.200
-6464.178,925.200
-6464.204,1024.200
-6464.342,1968.000
-6473.373,1593.000
-6563.602,1395.850
-6563.498,1370.850
-6563.468,1391.850
-6563.563,1891.150
-6565.230,2001.150
-6565.245,1961.150
-6565.229,1801.150
-6620.157,1806.150
-6620.196,1746.150
-6645.097,1685.150
-6705.916,1695.150
-6705.918,1570.150
-6705.869,1496.150
-6720.804,1551.150
-6720.871,1521.150
-6725.860,1387.950
-6725.506,1417.950
-6725.493,1463.050
-6725.470,1323.050
-6725.362,1105.550
-6725.374,993.050
-6725.170,803.050
-6725.166,558.050
-6779.993,718.050
-6779.977,558.050
-6779.804,553.050
-6779.790,573.050
-6779.859,593.550
-6779.851,605.900
-6779.853,630.900
-6779.894,415.900
-6779.656,444.300
-6779.685,466.800
-6779.689,21.800
-7163.395,-423.200
-7163.188,-405.700
-7163.216,-430.700
-7178.218,-465.700
-7178.198,-490.700
-7178.195,-480.700
-7178.012,-478.200
-7178.031,-480.200
-7178.054,-574.700
-7178.016,-1857.200
-7174.232,-1562.200
-7174.614,-1610.200
-7174.388,-1585.200
-7174.408,-2300.550
-7173.615,-2310.550
-7173.599,-2270.550
-7173.647,-2118.050
-7173.714,-2163.050
-7173.666,-2143.050
-7173.611,-2128.050
-7173.619,-2078.050
-7173.625,-2021.800
-7173.810,-2091.800
-7173.799,-2091.800
-7173.884,-2079.300
-7173.884,-1974.300
-7173.805,-1901.500
-7173.886,-1798.550
-7173.996,-1833.550
-7173.795,-1758.850
-7173.986,-1663.850
-7173.943,-1558.850
-7174.127,-1428.800
-7174.196,-1450.450
-7174.043,-1175.450
-7174.113,-1240.450
-7174.075,-1245.450
-7174.109,-1345.450
-7214.575,-1335.450
-7214.582,-1370.450
-7214.591,-1250.450
-7214.654,-1280.450
-7214.661,-1263.850
-7214.647,-1220.100
-7214.782,-210.100
-7215.402,9.900
-7215.361,94.900
-7215.623,144.900
-7215.639,150.400
-7215.639,160.400
-7215.496,160.400
-7215.478,152.900
-7215.468,487.900
-7216.055,811.650
-7215.505,789.450
-7215.834,958.450
-7216.037,943.450
-7216.027,925.450
-7216.048,1386.850
-7216.841,1476.850
-7217.101,1463.850
-7217.128,1398.850
-7217.130,1438.100
-7217.158,1633.600
-7217.456,1738.600
-7217.752,1748.600
-7217.770,1663.600
-7217.605,1708.600
-7217.644,1699.850
-7217.700,1744.850
-7217.709,1729.850
-7217.591,1669.250
-7217.594,1549.350
-7217.549,1417.450
-7217.424,1407.450
-7217.365,1214.950
-7217.203,1137.350
-7217.165,1203.150
-7217.428,1103.150
-7217.359,1108.150
-7217.352,1163.150
-7217.383,1188.150
-7217.591,1368.150
-7217.774,1375.650
-7217.786,1340.650
-7217.763,1315.650
-7217.752,1230.650
-7217.505,1135.650
-7217.355,275.650
-7216.816,470.650
-7216.921,560.650
-7217.433,568.150
-7217.422,547.150
-7227.903,592.150
-7227.944,617.150
-7227.957,622.150
-7227.966,598.400
-7227.953,158.400
-7227.720,443.400
-7230.018,362.750
-7230.155,372.750
-7230.165,92.050
-7229.993,42.050
-7230.100,8.050
-7230.073,25.550
-7230.092,-7.950
-7230.055,-92.950
-7230.016,-110.450
-7230.017,-100.450
-7230.045,-170.450
-7229.593,-195.450
-7229.604,-182.950
-7229.702,-195.450
-7229.709,-90.450
-7229.866,-63.900
-7229.904,-53.950
-7229.872,86.050
-7230.046,-109.250
-7276.886,80.750
-7277.150,130.750
-7277.078,165.800
-7277.088,181.650
-7277.451,204.150
-7277.413,214.150
-7277.420,289.150
-7277.547,285.900
-7277.732,360.900
-7278.099,400.900
-7278.113,370.900
-7278.100,375.900
-7278.093,488.000
-7278.154,528.000
-7278.124,1143.000
-7278.414,808.000
-7278.267,543.000
-7278.046,548.000
-7278.077,553.000
-7278.071,593.500
-7278.095,548.500
-7277.952,568.500
-7277.990,586.000
-7278.064,576.000
-7278.036,626.000
-7277.896,965.150
-7283.584,958.050
-7283.703,1218.050
-7284.567,1218.050
-7284.577,1218.050
-7284.598,1178.050
-7284.288,1133.050
-7284.258,1145.000
-7284.250,1090.000
-7284.215,1150.950
-7284.295,1180.950
-7284.323,1055.950
-7298.502,1040.950
-7300.995,815.950
-7300.550,745.950
-7300.498,865.950
-7300.539,865.950
-7300.550,837.150
-7300.550,832.150
-7300.056,892.150
-7298.588,882.150
-7298.106,952.150
-7298.164,882.150
-7298.150,1154.650
-7293.480,957.150
-7289.683,1132.150
-7283.389,1099.650
-7278.112,1052.150
-7264.349,687.150
-7414.791,687.150
-7414.798,617.150
-7414.836,558.650
-7390.863,428.650
-7386.826,406.150
-7386.825,386.150
-7386.179,291.150
-7385.929,171.250
-7385.660,191.250
-7380.674,-138.750
-7365.525,-163.750
-7361.374,1.250
-7347.029,8.750
-7347.083,31.250
-7347.103,7.600
-7347.098,97.600
-7343.884,65.100
-7343.881,30.100
-7340.835,61.350
-7340.853,141.350
-7339.798,-376.950
-7259.084,-437.000
-7249.963,-1057.000
-7249.252,-1057.000
-7246.644,-1052.000
-7246.685,-1272.000
-7213.732,-1267.000
-7213.717,-1256.900
-7212.213,-1196.900
-7207.234,-1200.700
-7205.302,-1225.700
-7205.261,-1055.700
-7205.417,-1068.200
-7217.908,-918.200
-7217.958,-825.700
-7218.012,-830.700
-7218.033,-855.700
-7217.512,-815.600
-7209.622,-790.600
-7209.133,-900.600
-7207.375,-876.850
-7206.923,-941.850
-7204.081,-876.850
-7203.198,-931.850
-7198.368,-729.350
-7194.902,-724.350
-7188.604,-629.350
-7183.446,-629.350
-7169.672,-361.850
-7152.618,-456.850
-7165.908,-410.100
-7142.239,-395.100
-7138.233,-357.600
-7137.515,-415.100
-7162.968,-245.100
-7157.912,-210.100
-7157.930,-79.500
-7149.361,-99.550
-7144.319,-54.550
-7129.235,305.450
-7125.351,320.450
-7123.935,320.450
-7123.705,332.750
-7122.664,237.750
-7119.076,257.750
-7119.098,302.750
-7116.204,280.250
-7115.062,339.400
-7034.799,379.400
-7025.765,624.400
-7019.085,1089.400
-6987.677,1089.400
-6979.646,1114.400
-6974.686,1080.650
-6972.688,1100.650
